Generation,BestFitness
1,3.2458980481196953
2,3.2458980481196953
3,2.5250537464673997
4,1.2306625811759275
5,1.2306625811759275
6,1.2306625811759275
7,1.2306625811759275
8,1.2098651978451436
9,1.2098651978451436
10,1.2098651978451436
11,1.2098651978451436
12,1.2098651978451436
13,1.2098651978451436
14,1.2098651978451436
15,1.2098651978451436
16,1.2098651978451436
17,0.44184202196565536
18,0.44184202196565536
19,0.44184202196565536
20,0.44184202196565536
21,0.44184202196565536
22,0.44184202196565536
23,0.44184202196565536
24,0.44184202196565536
25,0.44184202196565536
26,0.38588107851370523
27,0.01023400180997669
28,0.01023400180997669
29,0.01023400180997669
30,0.01023400180997669
31,0.01023400180997669
32,0.01023400180997669
33,0.01023400180997669
34,0.01023400180997669
35,0.01023400180997669
36,0.01023400180997669
37,0.01023400180997669
38,0.008888712982255242
39,0.008888712982255242
40,0.008888712982255242
41,0.008888712982255242
42,0.008888712982255242
43,0.008888712982255242
44,0.008888712982255242
45,0.008888712982255242
46,0.004360237270091716
47,0.004353799291290983
48,0.002252856423250904
49,0.002252856423250904
50,2.1411455719544392e-08
51,2.1411455719544392e-08
52,2.1411455719544392e-08
53,2.1411455719544392e-08
54,2.1411455719544392e-08
55,2.1411455719544392e-08
56,2.1411455719544392e-08
57,2.1411455719544392e-08
58,2.1411455719544392e-08
59,2.1411455719544392e-08
60,2.1411455719544392e-08
61,2.1411455719544392e-08
62,2.1411455719544392e-08
63,2.1411455719544392e-08
64,2.1411455719544392e-08
65,2.1411455719544392e-08
66,2.1411455719544392e-08
67,2.1411455719544392e-08
68,2.1411455719544392e-08
69,2.1411455719544392e-08
70,2.1411455719544392e-08
71,2.1411455719544392e-08
72,2.1411455719544392e-08
73,2.0149318658013726e-08
74,2.0149318658013726e-08
75,2.0149318658013726e-08
76,1.070696242777558e-08
77,6.469459634672603e-09
78,1.6287202697640168e-09
79,1.6287202697640168e-09
80,4.59451143797196e-10
81,4.59451143797196e-10
82,4.59451143797196e-10
83,4.59451143797196e-10
84,4.59451143797196e-10
85,3.7264769048306334e-10
86,3.163371786740754e-10
87,3.021796146640554e-10
88,3.021796146640554e-10
89,3.021796146640554e-10
90,1.63069557856943e-10
91,1.63069557856943e-10
92,8.910205906431656e-12
93,8.910205906431656e-12
94,8.910205906431656e-12
95,8.910205906431656e-12
96,6.348699344016495e-12
97,3.0020430585864233e-12
98,3.0020430585864233e-12
99,2.0392576516314875e-12
100,2.877698079828406e-13
